Euler's Method

dt	time		relative error			trun_error		fun_evaluations

0.1 	 57.4 		 -0.580284 			 9e-06 			 1148
0.3 	 57.0 		 -1.273104 			 8.1e-05 			 380
0.5 	 56.5 		 -2.139129 			 0.000225 			 226
0.7 	 56.0 		 -3.005155 			 0.000441 			 160
0.8 	 56.0 		 -3.005155 			 0.000576 			 140



Heun's Method

dt	time		relative error			trun_error		fun_evaluations

0.1 	 57.7 		 -0.060668 			 0.0 			 3458
0.3 	 57.6 		 -0.233873 			 0.0 			 1148
0.5 	 57.5 		 -0.407079 			 0.0 			 686
0.7 	 57.4 		 -0.580284 			 0.0 			 488
0.8 	 57.6 		 -0.233873 			 0.0 			 428
